province,U_R,COICOP,Products,Weights,Source
1,,,GENERAL INDEX (CPI),9999.999999999996,Urban
1,,,Food and non-alcoholic beverages,2737.905830276656,Urban
1,,,Bread and cereals ,539.3638606485538,Urban
1,,,Meat,197.40035443603645,Urban
1,,,"Milk, cheese and eggs",132.06730190968523,Urban
1,,,Vegetables ,885.603708112186,Urban
1,,,Non-alcoholic beverages ,132.12406477416687,Urban
1,,,Alcoholic beverages and tobacco,485.3264091869946,Urban
1,,,Clothing and footwear,530.7676668306442,Urban
1,,,"Housing, water, electricity, gas and other fuels",2075.484272456249,Urban
1,,,"Furnishing, household equipment and routine household maintenance ",375.48340240274274,Urban
1,,,Health,132.54444317531355,Urban
1,,,Transport,1245.1702845755299,Urban
1,,,Communication,314.3098917023506,Urban
1,,,Recreation and culture,307.16719129739846,Urban
1,,,Education,274.8664135596747,Urban
1,,,Restaurants and hotels,882.054431118825,Urban
1,,,Miscellaneous goods and services,638.9197634176433,Urban
2,,,GENERAL INDEX (CPI),81.38720989681737,Urban
2,,,Food and non-alcoholic beverages,76.52967387814563,Urban
2,,,Bread and cereals ,85.49533849750897,Urban
2,,,Meat,86.10215209876291,Urban
2,,,"Milk, cheese and eggs",61.97794623059147,Urban
2,,,Vegetables ,72.35247208214895,Urban
2,,,Non-alcoholic beverages ,83.69167248234423,Urban
2,,,Alcoholic beverages and tobacco,76.52815603392197,Urban
2,,,Clothing and footwear,84.40490667796921,Urban
2,,,"Housing, water, electricity, gas and other fuels",89.83389633791055,Urban
2,,,"Furnishing, household equipment and routine household maintenance ",93.20925130089923,Urban
2,,,Health,87.51749415074454,Urban
2,,,Transport,78.0161584042522,Urban
2,,,Communication,110.58983652369703,Urban
2,,,Recreation and culture,95.78066892070801,Urban
2,,,Education,53.188490500069655,Urban
2,,,Restaurants and hotels,85.4578073025513,Urban
2,,,Miscellaneous goods and services,89.26134372858809,Urban
3,,,GENERAL INDEX (CPI),82.06822032351884,Urban
3,,,Food and non-alcoholic beverages,78.05534774884696,Urban
3,,,Bread and cereals ,86.97121765380963,Urban
3,,,Meat,85.43716798182412,Urban
3,,,"Milk, cheese and eggs",62.612971368395755,Urban
3,,,Vegetables ,75.53968658066286,Urban
3,,,Non-alcoholic beverages ,83.16442549377209,Urban
3,,,Alcoholic beverages and tobacco,79.36623968023652,Urban
3,,,Clothing and footwear,84.56563213953439,Urban
3,,,"Housing, water, electricity, gas and other fuels",90.2147680128108,Urban
3,,,"Furnishing, household equipment and routine household maintenance ",93.39532695511917,Urban
3,,,Health,87.78477275511847,Urban
3,,,Transport,78.06759004858144,Urban
3,,,Communication,110.00514050162563,Urban
3,,,Recreation and culture,96.35016034689058,Urban
3,,,Education,53.188490500069655,Urban
3,,,Restaurants and hotels,85.65930877166716,Urban
3,,,Miscellaneous goods and services,87.18411526526485,Urban
4,,,GENERAL INDEX (CPI),81.93494127167575,Urban
4,,,Food and non-alcoholic beverages,77.66742650494807,Urban
4,,,Bread and cereals ,84.66488546983918,Urban
4,,,Meat,86.03392988171835,Urban
4,,,"Milk, cheese and eggs",62.21364236733617,Urban
4,,,Vegetables ,75.85999350865683,Urban
4,,,Non-alcoholic beverages ,82.48371950516561,Urban
4,,,Alcoholic beverages and tobacco,79.10047469656793,Urban
4,,,Clothing and footwear,84.67509689243043,Urban
4,,,"Housing, water, electricity, gas and other fuels",90.43763663018844,Urban
4,,,"Furnishing, household equipment and routine household maintenance ",93.4374894309329,Urban
4,,,Health,88.05361524062708,Urban
4,,,Transport,77.6076902199688,Urban
4,,,Communication,110.70313784535296,Urban
4,,,Recreation and culture,98.13833280719342,Urban
4,,,Education,53.188490500069655,Urban
4,,,Restaurants and hotels,85.03261541376895,Urban
4,,,Miscellaneous goods and services,87.23422397587991,Urban
5,,,GENERAL INDEX (CPI),81.21330006592875,Urban
5,,,Food and non-alcoholic beverages,76.06593446377622,Urban
5,,,Bread and cereals ,83.90646518322832,Urban
5,,,Meat,85.85972095525682,Urban
5,,,"Milk, cheese and eggs",62.8558591918923,Urban
5,,,Vegetables ,72.99849190349133,Urban
5,,,Non-alcoholic beverages ,82.35603743810987,Urban
5,,,Alcoholic beverages and tobacco,79.39799022283448,Urban
5,,,Clothing and footwear,84.02657380340011,Urban
5,,,"Housing, water, electricity, gas and other fuels",90.54483049195693,Urban
5,,,"Furnishing, household equipment and routine household maintenance ",93.41388909235556,Urban
5,,,Health,87.15764292274635,Urban
5,,,Transport,77.28055114196411,Urban
5,,,Communication,107.14540987911812,Urban
5,,,Recreation and culture,98.28911861192014,Urban
5,,,Education,53.188490500069655,Urban
5,,,Restaurants and hotels,85.16726583821398,Urban
5,,,Miscellaneous goods and services,87.10800416055294,Urban
6,,,GENERAL INDEX (CPI),80.83823094567516,Urban
6,,,Food and non-alcoholic beverages,75.10136668835035,Urban
6,,,Bread and cereals ,83.4484967908018,Urban
6,,,Meat,82.34285066288093,Urban
6,,,"Milk, cheese and eggs",62.67612674170278,Urban
6,,,Vegetables ,71.98779111288037,Urban
6,,,Non-alcoholic beverages ,82.57826926803499,Urban
6,,,Alcoholic beverages and tobacco,79.27929325935212,Urban
6,,,Clothing and footwear,82.82258236229936,Urban
6,,,"Housing, water, electricity, gas and other fuels",90.46228042449738,Urban
6,,,"Furnishing, household equipment and routine household maintenance ",93.08261861301887,Urban
6,,,Health,87.11049961721311,Urban
6,,,Transport,77.56336112189858,Urban
6,,,Communication,107.77101878613233,Urban
6,,,Recreation and culture,96.63984554740256,Urban
6,,,Education,53.188490500069655,Urban
6,,,Restaurants and hotels,85.68335599864031,Urban
6,,,Miscellaneous goods and services,87.79873349281955,Urban
7,,,GENERAL INDEX (CPI),81.73509477639632,Urban
7,,,Food and non-alcoholic beverages,75.65581627655617,Urban
7,,,Bread and cereals ,84.0408862191773,Urban
7,,,Meat,82.96622638221254,Urban
7,,,"Milk, cheese and eggs",61.805044429961555,Urban
7,,,Vegetables ,73.81979387370491,Urban
7,,,Non-alcoholic beverages ,81.83922618689506,Urban
7,,,Alcoholic beverages and tobacco,79.25893081588617,Urban
7,,,Clothing and footwear,83.75597152446686,Urban
7,,,"Housing, water, electricity, gas and other fuels",90.02059292836493,Urban
7,,,"Furnishing, household equipment and routine household maintenance ",93.19319133339384,Urban
7,,,Health,87.78497640010399,Urban
7,,,Transport,83.49840592244544,Urban
7,,,Communication,110.29503351860903,Urban
7,,,Recreation and culture,95.51612025290905,Urban
7,,,Education,53.18848345055635,Urban
7,,,Restaurants and hotels,85.60997438188916,Urban
7,,,Miscellaneous goods and services,86.89430120342138,Urban
8,,,GENERAL INDEX (CPI),82.64011731317505,Urban
8,,,Food and non-alcoholic beverages,77.42812141507754,Urban
8,,,Bread and cereals ,82.61213916501308,Urban
8,,,Meat,79.87486321357675,Urban
8,,,"Milk, cheese and eggs",60.44541348015904,Urban
8,,,Vegetables ,80.51352212993179,Urban
8,,,Non-alcoholic beverages ,82.60749308526134,Urban
8,,,Alcoholic beverages and tobacco,79.12890531861278,Urban
8,,,Clothing and footwear,84.59549364412226,Urban
8,,,"Housing, water, electricity, gas and other fuels",90.24971184931934,Urban
8,,,"Furnishing, household equipment and routine household maintenance ",93.13176354474791,Urban
8,,,Health,87.82026731543458,Urban
8,,,Transport,84.73611351296506,Urban
8,,,Communication,110.51303208527128,Urban
8,,,Recreation and culture,95.41979785516789,Urban
8,,,Education,53.18848345055635,Urban
8,,,Restaurants and hotels,85.44727353438327,Urban
8,,,Miscellaneous goods and services,87.4370132019449,Urban
9,,,GENERAL INDEX (CPI),84.05988137129484,Urban
9,,,Food and non-alcoholic beverages,80.69245050880076,Urban
9,,,Bread and cereals ,81.46858564120049,Urban
9,,,Meat,80.56242014668415,Urban
9,,,"Milk, cheese and eggs",63.45563480537048,Urban
9,,,Vegetables ,89.21206670730331,Urban
9,,,Non-alcoholic beverages ,82.05485648043984,Urban
9,,,Alcoholic beverages and tobacco,79.42339746943232,Urban
9,,,Clothing and footwear,85.02490684884995,Urban
9,,,"Housing, water, electricity, gas and other fuels",90.44756126711094,Urban
9,,,"Furnishing, household equipment and routine household maintenance ",93.28642299819157,Urban
9,,,Health,88.04018547789258,Urban
9,,,Transport,85.61031840854794,Urban
9,,,Communication,110.27538705589521,Urban
9,,,Recreation and culture,94.56717601181089,Urban
9,,,Education,53.18848345055635,Urban
9,,,Restaurants and hotels,85.67011314095954,Urban
9,,,Miscellaneous goods and services,88.06376984169215,Urban
10,,,GENERAL INDEX (CPI),84.75372758811731,Urban
10,,,Food and non-alcoholic beverages,82.18170541619521,Urban
10,,,Bread and cereals ,81.96879665875275,Urban
10,,,Meat,81.36705568456736,Urban
10,,,"Milk, cheese and eggs",65.43105549626743,Urban
10,,,Vegetables ,90.34604712231265,Urban
10,,,Non-alcoholic beverages ,82.52573144825925,Urban
10,,,Alcoholic beverages and tobacco,81.49897098756925,Urban
10,,,Clothing and footwear,84.74225364257384,Urban
10,,,"Housing, water, electricity, gas and other fuels",91.1533775792097,Urban
10,,,"Furnishing, household equipment and routine household maintenance ",92.37960243971195,Urban
10,,,Health,88.19890753717412,Urban
10,,,Transport,86.05969285816502,Urban
10,,,Communication,109.98016733973806,Urban
10,,,Recreation and culture,94.31231290665689,Urban
10,,,Education,53.18848345055635,Urban
10,,,Restaurants and hotels,85.83958554229396,Urban
10,,,Miscellaneous goods and services,86.16883067056662,Urban
11,,,GENERAL INDEX (CPI),85.3290143502565,Urban
11,,,Food and non-alcoholic beverages,83.50851897537103,Urban
11,,,Bread and cereals ,84.33123866826706,Urban
11,,,Meat,82.04566683770199,Urban
11,,,"Milk, cheese and eggs",63.37670897643548,Urban
11,,,Vegetables ,91.49737028432449,Urban
11,,,Non-alcoholic beverages ,82.43549394828125,Urban
11,,,Alcoholic beverages and tobacco,81.32976772203976,Urban
